frame,track_id,event,det_x1,det_y1,det_x2,det_y2,confidence,source,zone,state,missed_frames,pred_cx,pred_cy,actual_cx,actual_cy,distance_error,scale_ratio,track_identity_confidence,matched_track_id,association_cost
3,14,MATCHED,290.2,368.4,300.7,376.9,0.474,NONE,MEDIUM,Confirmed,0,293.6,372.7,295.4,372.7,1.81,1.00,0.60,12,0.270
3,15,NEW,0.0,0.0,0.0,0.0,0.482,NONE,NEAR,Candidate,0,7.3,504.7,7.3,504.7,0.00,1.00,0.50,-1,0.000
3,16,NEW,0.0,0.0,0.0,0.0,0.351,NONE,MEDIUM,Candidate,0,378.0,312.1,378.0,312.1,0.00,1.00,0.50,-1,0.000
3,17,NEW,0.0,0.0,0.0,0.0,0.283,NONE,MEDIUM,Candidate,0,252.9,392.8,252.9,392.8,0.00,1.00,0.50,-1,0.000
3,18,NEW,0.0,0.0,0.0,0.0,0.274,NONE,MEDIUM,Candidate,0,931.9,309.0,931.9,309.0,0.00,1.00,0.50,-1,0.000
4,1,MATCHED,386.6,340.4,399.9,355.8,0.913,NONE,MEDIUM,Confirmed,0,392.3,348.0,393.2,348.1,0.95,1.00,0.80,3,0.181
4,2,MATCHED,811.1,549.3,851.4,619.8,0.758,NONE,NEAR,Confirmed,0,830.9,582.3,831.3,584.5,2.31,1.00,0.80,4,0.095
4,3,MATCHED,915.1,272.8,924.0,291.4,0.940,NONE,FAR,Confirmed,0,919.6,283.0,919.6,282.1,0.91,1.00,0.80,2,0.133
4,4,MATCHED,90.4,437.6,120.2,478.5,0.754,NONE,MEDIUM,Confirmed,0,102.3,459.5,105.3,458.0,3.35,1.00,0.70,6,0.200
4,5,MATCHED,712.7,398.7,738.1,437.6,0.637,NONE,MEDIUM,Confirmed,0,725.5,417.4,725.4,418.1,0.76,1.00,0.80,11,0.120
4,6,MATCHED,646.9,399.4,674.9,437.5,0.659,NONE,MEDIUM,Confirmed,0,661.2,418.1,660.9,418.5,0.43,1.00,0.80,10,0.160
4,7,MATCHED,827.9,378.8,849.5,413.0,0.749,NONE,MEDIUM,Confirmed,0,838.6,395.1,838.7,395.9,0.73,1.00,0.80,7,0.063
4,8,MATCHED,861.4,394.8,880.7,428.8,0.687,NONE,MEDIUM,Confirmed,0,871.0,411.1,871.1,411.8,0.72,1.00,0.80,9,0.062
4,10,MATCHED,857.3,311.3,872.6,334.1,0.990,NONE,MEDIUM,Confirmed,0,865.3,322.3,864.9,322.7,0.50,1.00,0.80,1,0.046
4,11,MATCHED,431.9,332.5,449.5,350.2,0.990,NONE,MEDIUM,Confirmed,0,439.7,342.3,440.7,341.3,1.39,1.00,0.80,0,0.129
4,14,MATCHED,295.7,365.3,307.4,376.9,0.757,NONE,MEDIUM,Confirmed,0,299.3,371.7,301.5,371.1,2.30,1.00,0.70,5,0.346
4,15,MISSED,0.0,0.0,0.0,0.0,0.482,NONE,NEAR,Candidate,1,7.3,504.7,7.3,504.7,0.00,1.00,0.45,-1,0.000
4,16,MISSED,0.0,0.0,0.0,0.0,0.351,NONE,MEDIUM,Candidate,1,378.0,312.1,378.0,312.1,0.00,1.00,0.45,-1,0.000
4,17,MATCHED,246.4,374.2,270.4,405.9,0.489,NONE,MEDIUM,Confirmed,0,256.5,391.0,258.4,390.1,2.14,1.00,0.60,13,0.241
4,18,MISSED,0.0,0.0,0.0,0.0,0.274,NONE,MEDIUM,Candidate,1,931.9,309.0,931.9,309.0,0.00,1.16,0.45,-1,0.000
5,1,MATCHED,391.5,338.3,404.8,354.4,0.915,NONE,MEDIUM,Confirmed,0,397.8,346.4,398.2,346.3,0.37,1.00,0.90,2,0.004
5,2,MATCHED,811.8,559.7,854.2,630.9,0.691,NONE,NEAR,Confirmed,0,832.4,593.8,833.0,595.3,1.61,1.00,0.90,7,0.041
